post_id,platform,post_type,category,post_date,likes,shares,comments,reach
POST_1001,Facebook,Image,Business,2024-10-16 00:00:00,944,162.0,193,6608
POST_1002,Facebook,Poll,Entertainment,2024-10-03 00:00:00,152,115.0,60,1064
POST_1003,Instagram,Poll,Entertainment,2024-10-15 00:00:00,3729,,76,14916
POST_1004,LinkedIn,Text,Business,2024-10-10 00:00:00,455,177.0,31,2275
POST_1005,Twitter,Image,Entertainment,2024-11-04 00:00:00,275,994.0,101,2200
POST_1006,Twitter,Poll,Lifestyle,2024-11-15 00:00:00,162,96.0,174,486
POST_1007,Instagram,Image,Entertainment,2024-10-18 00:00:00,3764,335.0,98,30112
POST_1008,Twitter,Image,Education,2024-11-10 00:00:00,370,596.0,191,1850
POST_1009,Instagram,Text,Technology,2024-10-15 00:00:00,312,422.0,85,2184
POST_1010,Twitter,Video,Entertainment,2024-10-26 00:00:00,1831,986.0,169,7324
POST_1011,Twitter,Poll,Entertainment,2024-11-27 00:00:00,1215,458.0,97,8505
POST_1012,LinkedIn,Image,Technology,2024-11-25 00:00:00,239,83.0,165,1673
POST_1013,Facebook,Link,Entertainment,2024-11-08 00:00:00,1947,561.0,69,5841
POST_1014,Facebook,Poll,Business,2024-11-19 00:00:00,2655,368.0,33,7965
POST_1015,Twitter,Poll,Lifestyle,2024-11-02 00:00:00,1889,158.0,165,13223
POST_1016,Instagram,Video,Business,2024-11-18 00:00:00,1373,286.0,140,8238
POST_1017,Facebook,Image,Business,2024-11-26 00:00:00,1289,265.0,19,3867
POST_1018,Facebook,Link,Technology,2024-11-18 00:00:00,2211,148.0,37,8844
POST_1019,Twitter,Poll,Education,2024-10-28 00:00:00,1995,266.0,143,15960
POST_1020,Twitter,Link,Business,2024-10-29 00:00:00,1862,579.0,120,9310
POST_1021,Facebook,Poll,Education,2024-10-15 00:00:00,2440,245.0,6,9760
POST_1022,Facebook,Image,Business,2024-10-05 00:00:00,2135,263.0,76,8540
POST_1023,LinkedIn,Video,Entertainment,2024-11-21 00:00:00,848,102.0,29,5088
POST_1024,LinkedIn,Link,Technology,2024-11-13 00:00:00,1353,55.0,20,4059
POST_1025,Instagram,Video,Lifestyle,2024-11-04 00:00:00,3725,81.0,113,11175
POST_1026,LinkedIn,Poll,Technology,2024-10-04 00:00:00,1350,281.0,8,5400
POST_1027,Instagram,Link,Entertainment,2024-10-31 00:00:00,1801,452.0,107,5403
POST_1028,LinkedIn,Text,Entertainment,2024-10-19 00:00:00,881,289.0,174,4405
POST_1029,Instagram,Image,Education,2024-11-17 00:00:00,4491,41.0,196,26946
POST_1030,Instagram,Image,Education,2024-10-06 00:00:00,1572,45.0,157,9432
POST_1031,Facebook,Poll,Lifestyle,2024-11-07 00:00:00,2465,60.0,163,17255
POST_1032,Twitter,Text,Lifestyle,2024-11-12 00:00:00,1486,371.0,66,11888
POST_1033,Twitter,Link,Business,2024-11-29 00:00:00,1559,124.0,7,4677
POST_1034,Facebook,Poll,Lifestyle,2024-11-02 00:00:00,1116,155.0,94,5580
POST_1035,Twitter,Video,Entertainment,2024-11-23 00:00:00,1132,770.0,82,9056
POST_1036,Facebook,Poll,Business,2024-11-29 00:00:00,2747,126.0,39,21976
POST_1037,Instagram,Text,Business,2024-11-08 00:00:00,1775,377.0,92,8875
POST_1038,LinkedIn,Text,,2024-10-06 00:00:00,1314,221.0,75,5256
POST_1039,Twitter,Video,,2024-11-05 00:00:00,1465,487.0,148,11720
POST_1040,Instagram,Poll,Technology,2024-11-23 00:00:00,3074,308.0,146,15370
POST_1041,Twitter,Image,Business,2024-10-14 00:00:00,1416,305.0,175,8496
POST_1042,Instagram,Video,,2024-11-21 00:00:00,1500,461.0,110,7500
POST_1043,LinkedIn,Video,Business,2024-10-11 00:00:00,1451,60.0,102,5804
POST_1044,Instagram,Link,Business,2024-10-20 00:00:00,1914,124.0,11,9570
POST_1045,Facebook,Text,Business,2024-11-11 00:00:00,2116,429.0,178,6348
POST_1046,Facebook,Text,Lifestyle,2024-11-07 00:00:00,1117,59.0,32,5585
POST_1047,LinkedIn,Poll,Education,2024-10-08 00:00:00,803,300.0,53,2409
POST_1048,Instagram,Text,Entertainment,2024-10-05 00:00:00,2754,329.0,85,13770
POST_1049,Twitter,Link,Business,2024-10-26 00:00:00,1447,352.0,146,8682
POST_1050,Instagram,Poll,Education,2024-10-20 00:00:00,3376,290.0,5,23632
POST_1051,Twitter,Link,Entertainment,2024-10-29 00:00:00,1403,268.0,135,11224
POST_1052,Instagram,Image,Business,2024-11-02 00:00:00,2795,57.0,197,11180
POST_1053,Instagram,Image,Technology,2024-10-16 00:00:00,3942,322.0,23,27594
POST_1054,Instagram,Link,Entertainment,2024-10-26 00:00:00,2048,85.0,172,6144
POST_1055,LinkedIn,Video,Lifestyle,2024-11-21 00:00:00,1440,270.0,123,4320
